Landroid/util/Log;,e,(Ljava/lang/String; Ljava/lang/String;)I
Landroid/content/Context;,checkPermission,(Ljava/lang/String; I I)I
Landroid/os/Process;,myPid,()I
Landroid/os/Process;,myUid,()I
Landroid/os/AsyncTask;,<init>,()V
Landroid/os/AsyncTask;,getStatus,()Landroid/os/AsyncTask$Status;
Landroid/os/AsyncTask;,cancel,(Z)Z
Landroid/os/AsyncTask;,executeOnExecutor,(Ljava/util/concurrent/Executor; [Ljava/lang/Object;)Landroid/os/AsyncTask;
Landroid/widget/BaseAdapter;,notifyDataSetChanged,()V
Landroid/content/Intent;,getAction,()Ljava/lang/String;
Landroid/widget/FrameLayout;,setVisibility,(I)V
Landroid/widget/LinearLayout;,setVisibility,(I)V
Landroid/view/View;,setVisibility,(I)V
Landroid/widget/FrameLayout;,removeAllViews,()V
Landroid/os/Handler;,postDelayed,(Ljava/lang/Runnable; J)Z
Landroid/os/Handler;,<init>,()V
Landroid/widget/ProgressBar;,setVisibility,(I)V
Landroid/app/Activity;,finish,()V
Landroid/text/TextUtils;,equals,(Ljava/lang/CharSequence; Ljava/lang/CharSequence;)Z
Landroid/widget/FrameLayout;,clearAnimation,()V
Landroid/content/Intent;,<init>,(Ljava/lang/String;)V
Landroid/content/Intent;,setFlags,(I)Landroid/content/Intent;
Landroid/app/Activity;,startActivity,(Landroid/content/Intent;)V
Landroid/content/Intent;,addCategory,(Ljava/lang/String;)Landroid/content/Intent;
Landroid/content/Context;,getApplicationContext,()Landroid/content/Context;
Landroid/content/Intent;,<init>,(Landroid/content/Context; Ljava/lang/Class;)V
Landroid/content/Context;,startService,(Landroid/content/Intent;)Landroid/content/ComponentName;
Landroid/content/Intent;,putExtra,(Ljava/lang/String; Z)Landroid/content/Intent;
Landroid/content/Context;,startForegroundService,(Landroid/content/Intent;)Landroid/content/ComponentName;
Landroid/util/SparseArray;,<init>,()V
Landroid/util/SparseArray;,size,()I
Landroid/net/NetworkInfo;,isConnected,()Z
Landroid/net/ConnectivityManager;,getNetworkInfo,(I)Landroid/net/NetworkInfo;
Landroid/content/Context;,getSystemService,(Ljava/lang/String;)Ljava/lang/Object;
Landroid/app/Application;,<init>,()V
Landroid/app/Application;,getExternalFilesDir,(Ljava/lang/String;)Ljava/io/File;
Landroid/content/Context;,getPackageName,()Ljava/lang/String;
Landroid/util/SparseArray;,valueAt,(I)Ljava/lang/Object;
Landroid/net/NetworkInfo;,isAvailable,()Z
Landroid/net/ConnectivityManager;,getActiveNetworkInfo,()Landroid/net/NetworkInfo;
Landroid/os/Bundle;,getString,(Ljava/lang/String;)Ljava/lang/String;
Landroid/content/Intent;,putExtra,(Ljava/lang/String; Ljava/lang/String;)Landroid/content/Intent;
Landroid/content/Intent;,putExtra,(Ljava/lang/String; I)Landroid/content/Intent;
Landroid/content/Intent;,hasExtra,(Ljava/lang/String;)Z
Landroid/content/Intent;,getExtras,()Landroid/os/Bundle;
Landroid/content/Context;,startActivity,(Landroid/content/Intent;)V
Landroid/service/notification/StatusBarNotification;,getNotification,()Landroid/app/Notification;
Landroid/service/notification/NotificationListenerService;,snoozeNotification,(Ljava/lang/String; J)V
Landroid/service/notification/StatusBarNotification;,getPackageName,()Ljava/lang/String;
Landroid/service/notification/StatusBarNotification;,getKey,()Ljava/lang/String;
Landroid/service/notification/StatusBarNotification;,getId,()I
Landroid/service/notification/NotificationListenerService;,getPackageName,()Ljava/lang/String;
Landroid/service/notification/NotificationListenerService;,getActiveNotifications,()[Landroid/service/notification/StatusBarNotification;
Landroid/os/Bundle;,containsKey,(Ljava/lang/String;)Z
Landroid/content/res/Resources;,getString,(I)Ljava/lang/String;
Landroid/app/Activity;,getResources,()Landroid/content/res/Resources;
Landroid/content/res/Resources;,<init>,(Landroid/content/res/AssetManager; Landroid/util/DisplayMetrics; Landroid/content/res/Configuration;)V
Landroid/content/res/Resources;,getDisplayMetrics,()Landroid/util/DisplayMetrics;
